radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
24.730209,0.204,-48.373539,0.186,13.293,0.041,10,13.999,0.05,10,NA,NA,0,13.67,0.242,10,13.16,0.057,10,13.089,0.271,10,12.982,0.135,2,NA,NA,0
24.730532,0.623,-49.418274,0.378,16.583,0.231,8,17.152,0.114,8,NA,NA,0,16.781,0.049,8,16.278,0.278,8,15.91,0.088,5,NA,NA,0,NA,NA,0
24.73093,0.359,-48.214495,0.403,16.59,0.179,10,17.319,0.349,10,NA,NA,0,17.006,0.274,10,16.319,0.116,10,16.106,0.183,7,NA,NA,0,NA,NA,0
24.732145,0.664,-49.460857,0.284,16.204,0.317,7,17.233,0.141,7,NA,NA,0,16.637,0.061,8,15.864,0.141,8,15.438,0.136,7,NA,NA,0,NA,NA,0
24.732818,0.132,-48.988868,0.141,10.641,0.065,8,11.269,0.055,6,NA,NA,0,11.124,0.18,7,10.571,0.033,7,10.456,0.043,7,10.463,0.024,2,NA,NA,0
24.732855,0.185,-47.857328,0.141,14.85,0.078,10,15.549,0.06,10,NA,NA,0,15.216,0.229,10,14.724,0.079,10,14.638,0.222,10,NA,NA,0,NA,NA,0
24.733166,0.68,-49.593757,0.368,16.192,0.163,8,16.347,0.095,8,NA,NA,0,16.164,0.042,8,16.261,0.172,8,16.368,0.131,5,NA,NA,0,NA,NA,0
24.733277,0.531,-48.228373,0.358,17.15,0.132,7,17.901,0.18,7,NA,NA,0,17.569,0.105,8,16.763,0.151,8,16.383,0.099,6,NA,NA,0,NA,NA,0
24.735502,0.473,-47.945461,0.433,16.74,0.211,2,18.061,0.085,2,NA,NA,0,17.648,0.274,8,16.376,0.118,8,15.552,0.138,8,NA,NA,0,NA,NA,0
24.737785,0.19,-48.188051,0.197,14.763,0.034,10,15.373,0.046,10,NA,NA,0,15.084,0.239,10,14.657,0.054,10,14.608,0.283,10,NA,NA,0,NA,NA,0
24.738089,0.437,-49.72403,0.168,NA,NA,0,NA,NA,0,NA,NA,0,18.307,0.171,3,16.97,0.178,3,16.343,0.178,3,NA,NA,0,NA,NA,0
24.738098,0.734,-47.932394,0.228,NA,NA,0,NA,NA,0,NA,NA,0,18.737,0.147,2,17.471,0.087,2,NA,NA,0,NA,NA,0,NA,NA,0
24.738528,0.432,-48.681742,0.345,17.102,0.203,6,17.945,0.292,6,NA,NA,0,17.476,0.087,8,16.735,0.083,8,16.569,0.084,4,NA,NA,0,NA,NA,0
24.738692,0.41,-49.342136,0.323,16.345,0.267,7,16.973,0.161,7,NA,NA,0,16.531,0.144,6,16.132,0.058,6,16.072,0.09,5,NA,NA,0,NA,NA,0
24.741672,0.271,-48.019295,0.301,16.162,0.076,8,17.089,0.147,8,NA,NA,0,16.702,0.246,10,15.808,0.095,10,15.521,0.244,10,NA,NA,0,NA,NA,0
24.74421,0.351,-48.803849,0.26,15.392,0.094,9,16.219,0.071,9,NA,NA,0,15.789,0.054,8,15.145,0.025,8,14.883,0.053,8,NA,NA,0,NA,NA,0
24.745865,0.493,-48.851538,0.443,17.742,0.23,1,18.348,0.238,1,NA,NA,0,18.426,0.349,4,17.327,0.237,4,NA,NA,0,NA,NA,0,NA,NA,0
24.745998,0.319,-49.080107,0.263,16.66,0.149,7,17.138,0.103,7,NA,NA,0,16.883,0.063,6,16.468,0.097,6,16.3,0.087,5,NA,NA,0,NA,NA,0
24.746465,0.248,-49.417086,0.222,16.884,0.079,4,18.055,0.301,4,NA,NA,0,17.389,0.112,6,16.522,0.063,5,16.392,0.196,5,NA,NA,0,NA,NA,0
24.747601,0.253,-48.049298,0.443,NA,NA,0,NA,NA,0,NA,NA,0,18.824,0.417,1,18.008,0.375,1,NA,NA,0,NA,NA,0,NA,NA,0
24.747896,0.237,-48.152917,0.326,14.619,0.038,10,15.778,0.091,10,NA,NA,0,15.261,0.24,10,14.208,0.074,10,13.907,0.274,10,13.519,0.161,1,NA,NA,0
